DATE,STATE,UR
2022-11-01,Mississippi,4.1
2022-12-01,Mississippi,4.0
2021-01-01,Missouri,4.9
2021-02-01,Missouri,4.8
2021-03-01,Missouri,4.7
2021-04-01,Missouri,4.6
2021-05-01,Missouri,4.4
2021-06-01,Missouri,4.2
2021-07-01,Missouri,4.0
2021-08-01,Missouri,3.8
2021-09-01,Missouri,3.7
2021-10-01,Missouri,3.5
2021-11-01,Missouri,3.3
2021-12-01,Missouri,3.1
2022-01-01,Missouri,2.9
2022-02-01,Missouri,2.7
2022-03-01,Missouri,2.5
2022-04-01,Missouri,2.3
2022-05-01,Missouri,2.1
2022-06-01,Missouri,2.1
2022-07-01,Missouri,2.2
2022-08-01,Missouri,2.4
2022-09-01,Missouri,2.6
2022-10-01,Missouri,2.7
2022-11-01,Missouri,2.7
2022-12-01,Missouri,2.7
2021-01-01,Montana,4.0
2021-02-01,Montana,3.8
2021-03-01,Montana,3.7
2021-04-01,Montana,3.7
2021-05-01,Montana,3.6
2021-06-01,Montana,3.5
2021-07-01,Montana,3.4
2021-08-01,Montana,3.3
2021-09-01,Montana,3.1
2021-10-01,Montana,3.0
2021-11-01,Montana,2.8
2021-12-01,Montana,2.7
2022-01-01,Montana,2.6
2022-02-01,Montana,2.5
2022-03-01,Montana,2.5
2022-04-01,Montana,2.6
2022-05-01,Montana,2.6
2022-06-01,Montana,2.7
2022-07-01,Montana,2.7
2022-08-01,Montana,2.7
2022-09-01,Montana,2.7
2022-10-01,Montana,2.7
2022-11-01,Montana,2.7
2022-12-01,Montana,2.6
2021-01-01,Nebraska,3.0
2021-02-01,Nebraska,3.0
2021-03-01,Nebraska,2.9
2021-04-01,Nebraska,2.9
2021-05-01,Nebraska,2.8
2021-06-01,Nebraska,2.7
2021-07-01,Nebraska,2.7
2021-08-01,Nebraska,2.7
2021-09-01,Nebraska,2.6
2021-10-01,Nebraska,2.5
2021-11-01,Nebraska,2.3
2021-12-01,Nebraska,2.2
2022-01-01,Nebraska,2.1
2022-02-01,Nebraska,2.0
2022-03-01,Nebraska,2.0
2022-04-01,Nebraska,2.0
2022-05-01,Nebraska,2.1
2022-06-01,Nebraska,2.2
2022-07-01,Nebraska,2.4
2022-08-01,Nebraska,2.6
2022-09-01,Nebraska,2.6
2022-10-01,Nebraska,2.7
2022-11-01,Nebraska,2.7
2022-12-01,Nebraska,2.7
2021-01-01,Nevada,9.0
2021-02-01,Nevada,8.5
